# VADR 1.7.1 (Sep 2026)
#model-set	version	ftp-path	bitbucket-tag
calici	1.2-1	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/caliciviridae/1.2-1/vadr-models-calici-1.2-1.tar.gz	vadr-models-calici-1.2-1
corona	1.3-3	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/coronaviridae/1.3-3/vadr-models-corona-1.3-3.tar.gz	vadr-models-corona-1.3-3
cox1	1.2-2	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/cox1/1.2-2/vadr-models-cox1-1.2-2.tar.gz	vadr-models-cox1-1.2-2
flavi	1.7-2	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/flaviviridae/1.7-2/vadr-models-flavi-1.7-2.tar.gz	vadr-models-flavi-1.7-2
sarscov2	1.3-2	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/sarscov2/1.3-2/vadr-models-sarscov2-1.3-2.tar.gz	vadr-models-sarscov2-1.3-2
mpxv            1.4.2-1 https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/mpxv/1.4.2-1/vadr-models-mpxv-1.4.2-1.tar.gz      vadr-models-mpxv-1.4.2-1
rsv             1.5-2   https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/rsv/1.5-2/vadr-models-rsv-1.5-2.tar.gz            vadr-models-rsv-1.5-2
flu	1.6.3-2	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/flu/1.6.3-2/vadr-models-flu-1.6.3-2.tar.gz	vadr-models-flu-1.6.3-2
zika	1.7.1-2	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/zika/1.7.1-2/vadr-models-zika-1.7.1-2.tar.gz	vadr-models-zika-1.7.1-2

# bitbucket repos:
# calici: https://bitbucket.org/nawrockie/vadr-models-calici
# corona: https://bitbucket.org/nawrockie/vadr-models-corona
# cox1: https://bitbucket.org/nawrockie/vadr-models-cox1
# flavi: https://bitbucket.org/nawrockie/vadr-models-flavi
# sarscov2: https://bitbucket.org/nawrockie/vadr-models-sarscov2
# mpxv: https://bitbucket.org/nawrockie/vadr-models-mpxv
# rsv: https://bitbucket.org/nawrockie/vadr-models-rsv
# flu: https://bitbucket.org/nawrockie/vadr-models-flu
# zika: https://bitbucket.org/nawrockie/vadr-models-zika

